,DATE,TIME,OBM,TU,WD,WG,WS,SI
0,01/01/2014,00:00,25.16,99.1,270.2,6.36,4.79,0.01
1,01/01/2014,01:00,25.14,99.2,275.6,5.7,4.31,0.01
2,01/01/2014,02:00,24.7,99.2,231.5,9.64,6.51,0.01
3,01/01/2014,03:00,23.71,98.8,313.0,5.92,4.35,0.01
4,01/01/2014,04:00,23.67,98.7,313.4,4.17,2.87,0.01
5,01/01/2014,05:00,23.56,98.3,350.8,1.53,0.37,0.01
6,01/01/2014,06:00,23.18,98.1,306.5,1.75,0.41,0.01
7,01/01/2014,07:00,22.88,97.9,309.5,4.17,1.71,0.01
8,01/01/2014,08:00,22.89,97.9,304.3,4.17,2.57,0.18
9,01/01/2014,09:00,22.42,97.5,340.9,5.48,3.23,2.87
10,01/01/2014,10:00,22.87,97.4,19.24,4.17,3.22,7.49
11,01/01/2014,11:00,23.49,97.7,59.79,4.6,3.45,12.49
12,01/01/2014,12:00,24.45,97.2,65.5,4.6,3.38,18.4
13,01/01/2014,13:00,24.88,97.2,64.94,5.26,4.01,19.36
14,01/01/2014,14:00,26.8,98.0,359.6,1.97,0.92,16.21
15,01/01/2014,15:00,25.05,97.5,323.4,5.7,3.9,13.75
16,01/01/2014,16:00,24.81,97.7,31.48,2.85,1.69,6.22
17,01/01/2014,17:00,24.01,97.9,26.86,5.26,3.66,0.56
18,01/01/2014,18:00,23.12,97.0,49.22,5.7,4.58,0.0
19,01/01/2014,19:00,22.7,96.5,77.9,7.01,4.58,0.0
20,01/01/2014,20:00,21.26,94.7,147.3,12.71,9.09,0.01
21,01/01/2014,21:00,19.29,95.1,139.8,10.08,7.67,0.01
22,01/01/2014,22:00,17.33,95.0,128.0,10.74,7.91,0.01
23,01/01/2014,23:00,18.44,95.2,115.1,10.96,7.8,0.01
24,01/02/2014,00:00,17.9,93.4,116.5,11.62,9.0,0.0
25,01/02/2014,01:00,16.89,92.3,112.7,13.59,10.27,0.0
26,01/02/2014,02:00,17.11,88.8,97.5,14.47,10.91,0.0
27,01/02/2014,03:00,17.01,86.1,91.6,14.69,11.04,0.0
28,01/02/2014,04:00,18.32,84.5,89.8,15.34,11.26,0.0
29,01/02/2014,05:00,19.59,83.1,81.2,13.37,11.13,0.0
30,01/02/2014,06:00,21.76,81.6,107.1,10.52,8.25,0.0
31,01/02/2014,07:00,21.86,81.9,101.0,9.21,7.61,0.0
32,01/02/2014,08:00,22.29,83.6,99.1,9.21,7.69,0.09
33,01/02/2014,09:00,23.0,84.2,89.1,7.89,5.85,8.56
34,01/02/2014,10:00,24.54,81.8,100.5,12.49,9.74,10.45
35,01/02/2014,11:00,26.67,83.0,61.72,7.89,6.67,18.66
36,01/02/2014,12:00,28.88,82.6,65.93,7.89,6.33,22.65
37,01/02/2014,13:00,29.59,83.5,67.8,4.6,3.33,19.42
38,01/02/2014,14:00,31.01,82.2,55.64,2.85,2.29,23.08
39,01/02/2014,15:00,30.92,82.1,61.18,3.29,2.43,13.06
40,01/02/2014,16:00,30.97,80.2,92.9,2.41,0.15,7.32
41,01/02/2014,17:00,28.62,87.4,72.96,3.51,1.85,1.1
42,01/02/2014,18:00,27.78,91.7,52.76,4.82,3.94,0.0
43,01/02/2014,19:00,29.14,91.2,89.7,5.26,4.06,0.0
44,01/02/2014,20:00,28.88,93.3,61.58,4.17,3.42,0.0
45,01/02/2014,21:00,27.37,96.0,249.4,6.36,4.43,0.0
46,01/02/2014,22:00,27.08,93.7,224.8,5.48,3.92,0.0
47,01/02/2014,23:00,26.86,94.2,137.3,5.26,4.23,0.01
48,01/03/2014,00:00,27.14,92.8,37.31,1.97,0.61,0.0
49,01/03/2014,01:00,25.91,97.1,82.9,3.29,2.02,0.0
50,01/03/2014,02:00,26.2,96.8,18.55,2.85,1.94,0.01
51,01/03/2014,03:00,26.25,96.4,162.5,5.26,3.85,0.01
52,01/03/2014,04:00,27.17,90.0,44.38,2.63,1.98,0.01
53,01/03/2014,05:00,26.65,92.0,140.7,2.41,1.16,0.01
54,01/03/2014,06:00,26.21,89.3,216.7,5.92,2.93,0.01
55,01/03/2014,07:00,24.97,93.1,37.67,1.53,0.61,0.0
56,01/03/2014,08:00,25.21,91.7,210.6,3.73,1.73,0.09
57,01/03/2014,09:00,25.91,89.0,42.42,2.63,0.86,4.44
58,01/03/2014,10:00,26.04,91.0,254.7,5.48,2.18,6.54
59,01/03/2014,11:00,27.73,83.0,12.47,3.73,1.38,13.71
60,01/03/2014,12:00,27.53,83.9,334.6,6.79,4.53,14.09
61,01/03/2014,13:00,28.62,83.8,336.9,8.77,6.27,16.13
62,01/03/2014,14:00,29.79,84.9,285.8,7.01,5.14,19.75
63,01/03/2014,15:00,31.17,86.6,352.1,6.79,4.24,12.87
64,01/03/2014,16:00,28.84,86.2,113.0,2.85,0.75,5.59
65,01/03/2014,17:00,24.92,91.4,223.0,7.01,5.04,1.21
66,01/03/2014,18:00,20.73,82.6,88.9,8.33,2.78,0.0
67,01/03/2014,19:00,26.33,44.46,15.71,7.23,3.65,0.01
68,01/03/2014,20:00,16.71,69.09,103.0,9.21,6.97,0.01
69,01/03/2014,21:00,21.56,63.79,91.1,2.85,0.54,0.01
70,01/03/2014,22:00,17.52,72.77,109.4,6.36,4.94,0.01
71,01/03/2014,23:00,17.0,75.55,36.97,7.45,4.86,0.01
72,01/04/2014,00:00,12.58,83.0,99.8,6.36,3.37,0.0
73,01/04/2014,01:00,12.05,82.8,100.0,3.95,2.29,0.0
74,01/04/2014,02:00,16.37,75.57,348.9,5.92,4.2,0.0
75,01/04/2014,03:00,17.41,74.88,201.6,3.73,1.81,0.0
76,01/04/2014,04:00,15.67,79.55,194.9,3.29,0.79,0.0
77,01/04/2014,05:00,8.61,88.3,38.39,5.92,1.8,0.0
78,01/04/2014,06:00,8.75,89.4,133.2,6.58,2.11,0.0
79,01/04/2014,07:00,4.44,88.4,92.6,6.79,4.84,0.01
80,01/04/2014,08:00,6.1,87.8,57.96,7.01,2.24,0.19
81,01/04/2014,09:00,1.14,88.0,114.0,6.58,4.9,4.49
82,01/04/2014,10:00,5.48,85.9,103.2,5.26,3.77,13.84
83,01/04/2014,11:00,13.8,77.51,270.6,7.45,4.78,22.11
84,01/04/2014,12:00,14.91,83.9,274.0,10.74,7.07,29.86
85,01/04/2014,13:00,15.12,85.6,293.4,9.21,6.48,31.8
86,01/04/2014,14:00,18.74,83.2,265.1,11.18,7.81,23.65
87,01/04/2014,15:00,21.03,78.52,260.9,14.47,10.65,32.49
88,01/04/2014,16:00,19.7,78.12,234.1,14.25,10.34,11.37
89,01/04/2014,17:00,18.39,80.6,222.4,12.71,9.09,1.14
90,01/04/2014,18:00,17.1,82.4,308.2,7.45,4.75,0.0
91,01/04/2014,19:00,15.76,87.5,65.47,3.07,1.18,0.0
92,01/04/2014,20:00,17.07,78.43,249.8,4.17,2.55,0.0
93,01/04/2014,21:00,12.96,74.4,255.3,7.23,4.56,0.0
94,01/04/2014,22:00,6.5,69.72,329.4,3.73,1.1,0.0
95,01/04/2014,23:00,5.64,70.91,224.7,8.77,6.92,0.0
96,01/05/2014,00:00,1.11,77.88,117.6,5.26,2.63,0.0
97,01/05/2014,01:00,4.92,69.48,194.4,10.74,8.85,0.01
98,01/05/2014,02:00,5.08,65.46,218.5,8.33,5.02,0.01
99,01/05/2014,03:00,3.22,72.6,132.1,1.31,0.22,0.01
100,01/05/2014,04:00,3.33,76.04,253.5,6.36,1.88,0.01
101,01/05/2014,05:00,0.4,82.2,331.1,2.19,0.63,0.01
102,01/05/2014,06:00,-2.25,90.1,103.4,4.38,2.78,0.0
103,01/05/2014,07:00,-0.06,86.1,83.1,6.58,3.65,0.01
104,01/05/2014,08:00,1.54,87.0,104.3,5.92,4.09,0.17
105,01/05/2014,09:00,-0.79,78.5,58.54,7.45,5.27,5.33
106,01/05/2014,10:00,0.88,72.88,94.1,7.67,6.2,20.68
107,01/05/2014,11:00,4.49,69.46,113.7,7.45,6.22,29.71
108,01/05/2014,12:00,7.8,74.83,91.5,6.14,4.47,30.88
109,01/05/2014,13:00,11.86,73.6,112.1,7.23,5.57,36.28
110,01/05/2014,14:00,12.63,71.17,130.1,8.99,6.27,32.19
111,01/05/2014,15:00,12.08,70.42,168.0,8.55,5.87,23.67
112,01/05/2014,16:00,11.08,65.26,155.2,6.79,4.75,12.81
113,01/05/2014,17:00,4.92,72.05,109.6,9.64,8.36,0.81
114,01/05/2014,18:00,-0.55,71.38,101.6,8.55,6.09,0.0
115,01/05/2014,19:00,-1.44,76.63,82.1,6.58,4.41,0.0
116,01/05/2014,20:00,-2.34,76.19,84.6,10.3,8.3,0.01
117,01/05/2014,21:00,-4.1,75.12,83.9,9.43,7.18,0.01
118,01/05/2014,22:00,-4.92,75.06,98.5,11.4,7.92,0.01
119,01/05/2014,23:00,-6.2,76.04,99.5,10.52,8.08,0.01
120,01/06/2014,00:00,-5.92,76.82,89.0,13.81,9.89,0.0
121,01/06/2014,01:00,-4.74,74.35,92.3,13.15,10.66,0.0
122,01/06/2014,02:00,-6.51,75.5,82.7,11.84,8.87,0.0
123,01/06/2014,03:00,-0.86,74.51,85.5,14.91,11.9,0.0
124,01/06/2014,04:00,0.2,76.63,87.8,12.71,9.61,0.0
125,01/06/2014,05:00,1.8,74.97,87.1,14.03,11.12,0.0
126,01/06/2014,06:00,3.52,74.65,85.3,11.4,9.26,0.0
127,01/06/2014,07:00,0.22,75.33,79.17,9.43,7.7,0.0
128,01/06/2014,08:00,-0.07,74.25,81.8,10.96,8.75,0.21
129,01/06/2014,09:00,1.11,73.29,101.6,9.64,6.84,7.22
130,01/06/2014,10:00,4.46,71.38,91.2,7.23,5.12,19.72
131,01/06/2014,11:00,8.97,68.75,90.3,9.86,7.07,28.91
132,01/06/2014,12:00,12.19,68.79,86.6,5.92,4.66,19.4
133,01/06/2014,13:00,15.73,66.45,72.53,6.36,4.21,38.43
134,01/06/2014,14:00,20.08,63.52,57.02,4.6,2.65,35.73
135,01/06/2014,15:00,20.74,62.6,25.77,5.92,3.98,30.28
136,01/06/2014,16:00,17.84,60.51,77.07,4.17,2.58,13.04
137,01/06/2014,17:00,12.63,67.64,119.7,3.73,2.35,0.82
138,01/06/2014,18:00,6.73,76.22,130.5,6.14,4.55,0.0
139,01/06/2014,19:00,5.59,71.84,133.2,5.92,4.87,0.0
140,01/06/2014,20:00,9.85,73.24,82.2,7.89,6.3,0.0
141,01/06/2014,21:00,10.89,75.47,82.5,10.74,9.15,0.0
142,01/06/2014,22:00,11.27,74.85,99.2,11.4,9.53,0.01
143,01/06/2014,23:00,11.35,75.59,109.1,11.18,9.59,0.0
144,01/07/2014,00:00,13.51,76.13,113.3,12.93,10.16,0.0
145,01/07/2014,01:00,13.94,76.77,99.8,9.86,7.59,0.0
146,01/07/2014,02:00,14.71,76.39,113.3,10.96,8.77,0.0
147,01/07/2014,03:00,14.58,77.63,83.6,10.96,8.86,0.0
148,01/07/2014,04:00,14.81,74.57,101.9,10.3,7.84,0.0
149,01/07/2014,05:00,15.34,78.01,103.1,11.62,9.44,0.0
150,01/07/2014,06:00,15.91,74.79,110.1,12.49,9.12,0.0
151,01/07/2014,07:00,15.54,76.62,98.3,12.06,9.53,0.0
152,01/07/2014,08:00,15.88,77.46,84.0,12.93,10.54,0.09
153,01/07/2014,09:00,15.66,78.72,88.2,8.33,5.98,5.66
