DATE       TIME ,OB,TU,WD,WG,WS,SI
1/1/20 0:00,42.28,77.89,176.3,4.6,1.49,0
1/1/20 1:00,43.38,73.22,192.3,4.82,1.61,0
1/1/20 2:00,41.66,83,173.9,5.26,1.77,0
1/1/20 3:00,39.58,100.1,70.28,1.97,0.62,0
1/1/20 4:00,39.09,100.1,96.1,3.51,0.58,0
1/1/20 5:00,38.11,100.1,0,0,0,0
1/1/20 6:00,38.11,100.1,131,2.41,0.5,0
1/1/20 7:00,38.66,100.1,178.3,6.58,1.67,0
1/1/20 8:00,38.91,100.1,215.9,3.73,1.04,0
1/1/20 9:00,39.09,100.1,310.5,1.75,0.74,1.45
1/1/20 10:00,40.75,100,331.7,11.4,1.96,0.73
1/1/20 11:00,38.35,100.1,350,1.53,0.19,2.06
1/1/20 12:00,41.6,100,190.3,2.41,0.56,26.91
1/1/20 13:00,43.68,96.6,328.1,10.08,2.48,25.71
1/1/20 14:00,47.65,71.96,290.9,7.01,2.32,37.33
1/1/20 15:00,46.53,68.76,344.5,9.86,2.81,8.71
1/1/20 16:00,46.34,70.51,316.1,8.11,2.17,6.48
1/1/20 17:00,44.69,75.79,338.8,7.23,1.38,0.98
1/1/20 18:00,44.81,66.82,316.1,5.26,1.7,0
1/1/20 19:00,42.86,69.56,312.9,5.04,1.62,0
1/1/20 20:00,41.58,77.31,286.9,2.63,0.46,0
1/1/20 21:00,42.08,71.91,295.4,5.92,1.49,0
1/1/20 22:00,39.63,76.11,3.8,6.58,1.47,0
1/1/20 23:00,38.05,80.8,53.15,1.53,0.11,0
1/2/20 0:00,35.05,94.2,76.27,0.66,0.01,0
1/2/20 1:00,34.44,96.1,220.7,1.97,0.63,0
1/2/20 2:00,33.41,99.8,51.11,1.1,0.08,0
1/2/20 3:00,33.41,99.7,19.7,1.1,0.17,0
1/2/20 4:00,32.74,100.1,336.1,1.1,0.04,0
1/2/20 5:00,33.96,100.1,312.3,1.97,0.27,0
1/2/20 6:00,37.51,80.4,339.8,3.51,0.43,0
1/2/20 7:00,38.68,72.28,352.3,4.38,1.36,0
1/2/20 8:00,36.41,79.07,49.72,2.63,0.57,0
1/2/20 9:00,34.76,86.6,14.93,1.53,0.28,2.38
1/2/20 10:00,38.01,82.3,0,0,0,8.91
1/2/20 11:00,44.32,60.42,339.8,5.48,1.83,29.27
1/2/20 12:00,44.61,61.24,320.5,7.45,1.38,21.77
1/2/20 13:00,45.64,53.74,278.6,6.36,1.85,33.63
1/2/20 14:00,44.46,58.94,278.4,6.14,2.1,15.98
1/2/20 15:00,44.33,53.5,312.7,5.7,1.46,12.08
1/2/20 16:00,43.78,52.94,325.2,3.29,1.3,6.3
1/2/20 17:00,42.61,55.12,3.53,4.82,1.3,1.17
1/2/20 18:00,39.87,62.1,0,0,0,0
1/2/20 19:00,38.53,74.17,297.2,0.88,0.04,0
1/2/20 20:00,38.05,82.1,83.7,1.32,0.09,0
1/2/20 21:00,38.3,77.86,135.1,1.53,0.1,0
1/2/20 22:00,37.93,79.99,0,0,0,0
1/2/20 23:00,38.24,78.87,219.3,2.19,0.46,0
1/3/20 0:00,39.09,77.23,232.3,2.19,0.58,0
1/3/20 1:00,36.4,84.3,29.49,1.53,0.15,0
1/3/20 2:00,33.15,95.2,0,0,0,0
1/3/20 3:00,32.06,99.2,57.93,1.75,0.42,0
1/3/20 4:00,31.63,99.7,57.8,0.88,0.04,0
1/3/20 5:00,31.33,100.1,70.58,2.41,0.66,0
1/3/20 6:00,31.15,100.1,51.91,1.1,0.05,0
1/3/20 7:00,31.41,100.1,0,0,0,0
1/3/20 8:00,31.96,100.1,328.7,1.32,0.08,0
1/3/20 9:00,31.59,100.1,0,0,0,1.55
1/3/20 10:00,33.99,97.7,80.4,1.53,0.2,8.89
1/3/20 11:00,38.34,83.9,0,0,0,14.03
1/3/20 12:00,43.04,64.18,242.1,2.63,1.04,22.73
1/3/20 13:00,44.68,60.19,97.7,1.75,0.63,14.87
1/3/20 14:00,48.34,53.02,193.3,2.63,0.95,29.92
1/3/20 15:00,49.61,48.99,204,2.41,0.58,14.83
1/3/20 16:00,48.67,50.42,66.15,1.75,0.42,8.3
1/3/20 17:00,45.42,59,143.9,0.88,0.06,2.34
1/3/20 18:00,39.01,80.9,81.5,1.75,0.45,0
1/3/20 19:00,35.65,89.9,351.3,1.97,0.26,0
1/3/20 20:00,36.95,72.88,65.78,2.41,0.63,0
1/3/20 21:00,48.85,29.18,136.7,15.12,4.4,0
1/3/20 22:00,50.98,32.67,115.1,20.17,6.03,0
1/3/20 23:00,50.97,30.43,125.5,18.19,6.14,0
1/4/20 0:00,52.61,27.66,118.1,18.63,6.12,0
1/4/20 1:00,54.55,23.34,120,19.29,6.06,0
1/4/20 2:00,50.32,26.2,187.2,10.3,3.58,0
1/4/20 3:00,48.73,30.31,151.8,12.93,3.95,0
1/4/20 4:00,53.75,23.06,131.6,16,5.66,0
1/4/20 5:00,52.45,25.73,141.5,12.71,4.25,0
1/4/20 6:00,48.35,32.88,194.1,5.92,2.61,0
1/4/20 7:00,45.59,38.83,177,10.3,3.36,0
1/4/20 8:00,44.5,42.02,242.7,5.7,2.02,0
1/4/20 9:00,42.3,52.06,308.6,8.99,1.87,0.48
1/4/20 10:00,42.06,57.42,161.5,3.07,1.46,0.86
1/4/20 11:00,42.68,55.11,199,2.63,1.14,3.75
1/4/20 12:00,43.66,60.99,291.1,6.58,1.35,4.87
1/4/20 13:00,44.89,62.7,298.8,6.36,1.81,22.68
1/4/20 14:00,45.12,57.03,296.7,10.74,2.75,16.3
1/4/20 15:00,44.38,47.27,328.2,8.33,2.62,4.52
1/4/20 16:00,45.85,31.56,312.6,10.96,3.28,12.84
1/4/20 17:00,43.46,34.8,314.8,10.52,2,1.59
1/4/20 18:00,37.35,48.68,54.34,1.75,0.46,0
1/4/20 19:00,34.73,62.42,283.7,1.97,0.93,0
1/4/20 20:00,31.37,74.08,313.8,1.53,0.34,0
1/4/20 21:00,28.56,82.4,188,1.75,0.22,0
1/4/20 22:00,29.24,86.3,81.5,1.75,0.38,0
1/4/20 23:00,29.55,83.9,234.6,3.29,0.66,0
1/5/20 0:00,29.63,89.9,238.6,2.41,0.27,0
1/5/20 1:00,32.45,75.51,253.5,2.19,0.48,0
1/5/20 2:00,31.29,78.76,216.1,1.32,0.11,0
1/5/20 3:00,37.17,56.05,156.7,4.16,1.06,0
1/5/20 4:00,34.65,63.6,99.5,1.1,0.2,0
